,Location,Latitude,Longitude,Altitude
597,station_597,28.95691,82.85666,2585.0
598,station_598,29.01718,82.76359,2089.0
599,station_599,28.97925,83.34043,4059.0
600,station_600,29.28798,83.31846,5292.0
601,station_601,29.24206,82.66443,4218.0
602,station_602,28.92493,82.99396,3871.0
603,station_603,29.0553,82.53463,2405.0
604,station_604,29.28383,82.93263,4581.0
605,station_605,29.70063,81.86346,2554.0
606,station_606,29.85581,82.23629,3388.0
607,station_607,29.94523,81.85772,2121.0
608,station_608,30.16946,81.62035,5502.0
609,station_609,29.78796,81.89687,1990.0
610,station_610,30.13686,81.97407,5048.0
611,station_611,29.70535,81.7513,2893.0
612,station_612,28.865419137,82.167889981,1493.0
613,station_613,28.75089,82.01912,1623.0
614,station_614,28.865419137,82.167889981,1493.0
615,station_615,28.95961,82.25177,1755.0
616,station_616,28.90238,81.98813,2275.0
617,station_617,28.88024,82.149,2195.0
618,station_618,28.68857,81.93365,1264.0
619,station_619,29.3252,82.17109,3033.0
620,station_620,29.18121,82.38002,3079.0
621,station_621,29.26973,81.92985,2481.0
622,station_622,29.41154,82.02027,2440.0
623,station_623,29.33541,82.44929,3310.0
624,station_624,29.34107,82.03155,2859.0
625,station_625,29.23367,82.05367,2294.0
626,station_626,29.271714351,82.217266442,2512.0
627,station_627,29.15009,81.61183,1771.0
628,station_628,29.27465,81.64553,2674.0
629,station_629,29.14612,81.85448,2515.0
630,station_630,29.04137,81.85773,3862.0
631,station_631,29.22012,81.53317,2092.0
632,station_632,29.26051,81.72308,1922.0
633,station_633,29.33922,81.84204,1889.0
634,station_634,29.26276,81.58511,2078.0
635,station_635,29.08093,81.63039,2524.0
636,station_636,29.53397,82.15771,2110.0
637,station_637,29.53028,81.90175,2227.0
638,station_638,29.6789,82.53314,3920.0
639,station_639,29.63093,81.96545,2181.0
640,station_640,28.846,82.52065,3649.0
641,station_641,28.63829,82.20051,761.0
642,station_642,28.63101,82.45562,1494.0
643,station_643,28.70292,82.51497,2484.0
644,station_644,28.701164699,82.663955276,2465.0
645,station_645,28.56905,82.42802,1570.0
646,station_646,28.5219,82.07145,908.0
647,station_647,28.493,82.06911,960.0
648,station_648,28.39009,82.16948,1212.0
649,station_649,28.3577,82.30807,1468.0
650,station_650,28.54979,82.3204,1388.0
651,station_651,28.28771,82.04614,722.0
652,station_652,28.23128,82.35008,1549.0
653,station_653,28.401949637,82.143720613,1336.0
654,station_654,28.4359401,81.063652,1336.0 
655,station_655,28.29616,82.29881,1547.0
656,station_656,28.47025,81.68014,698.0
657,station_657,28.60645,81.61429,728.0
658,station_658,28.43929,81.90146,636.0
659,station_659,28.53564,81.7639,1003.0
660,station_660,28.78963,81.40383,380.0
661,station_661,28.65372,81.45104,322.0
662,station_662,28.85994,81.27875,714.0
663,station_663,28.62686,81.84098,1478.0
664,station_664,28.54692,81.94508,1027.0
665,station_665,29.0635,81.33134,1963.0
666,station_666,29.14109,81.22001,1285.0
667,station_667,29.10081,81.44631,964.0
668,station_668,29.25887,81.18146,1317.0
669,station_669,29.19204,81.30356,1542.0
670,station_670,29.20352,81.12968,1736.0
671,station_671,28.99951,81.26129,1627.0
672,station_672,29.26748,81.32136,1966.0
673,station_673,29.20058,81.45138,1827.0
