Location,Latitude,Longitude,Altitude
Dakshinkali,27.62,85.25,1636.0
Sikali,27.63,85.27,1434.0
Kritipur,27.65,85.27,1359.0
Chandragiri,27.68,85.22,1470.0
Kalanki,27.68,85.27,1296.0
Balaju,27.72,85.28,1319.0
Kathmandu,27.73,85.5,1348.0
Tokha,27.77,85.32,1357.0
Santidhan,27.78,85.3,1602.0
Jhormahakal,27.8,85.33,1853.0
Tarebhir,27.77,85.38,2148.0
Kappan,27.73,85.35,1364.0
Mulpani,27.7,85.38,1338.0
Sundarijal,27.78,85.42,1796.0
Jarsingpauwa,27.75,85.47,1698.0
Naglebhare,27.77,85.52,1491.0
Sakhu,27.72,85.45,1394.0
Chandanimandan,27.7,85.63,1082.0
Deupur,27.72,85.55,1320.0
Anaikot,27.67,85.58,1039.0
Kuntabesi,27.7,85.6,835.0
Nala,27.67,85.5,1666.0
Sanga,27.62,85.47,1591.0
Banepa,27.63,85.52,1470.0
Dhulikhel,27.62,85.55,1361.0
Panchkhal,27.65,85.62,885.0
Dolalghat,27.62,85.7,914.0
Patlekhet,27.58,85.6,1339.0
Panauti,27.58,85.5,1467.0
Namobuddha,27.57,85.57,16.5
Chalal,27.53,85.48,1739.0
Dhunkharka,27.5,85.48,2043.0
Chamrabesi,27.47,85.45,1703.0
Bethanchok,27.48,85.48,2646.0
SikharAmbote,27.47,85.58,1720.0
Phalametar,27.43,85.5,995.0
Salmechakala,27.37,85.5,506.0
