Municipality,latitude,longitude,altitude
Kathmandu Metropolitian City,27.70819,85.30569,1313.0
Budhanilakantha Municipality,27.77715,85.36395,1455.0
Chandragiri Municipality,27.68696,85.23522,1418.0
Dakshinkali Municipality,27.60479,85.27292,1440.0
Gokarneshwor Municipality,27.76527,85.40792,1625.0
Kageshwori Manahora Municipality,27.73165,85.41696,1376.0
Kirtipur Municipality,27.68221,85.27269,1377.0
Nagarjun Municipality,27.72427,85.26045,1537.0
Shankharapur Municipality,27.75297,85.5037,1626.0
Tarakeshwor Municipality,27.77716,85.29068,1386.0
Tokha Municipality,27.7749,85.33492,1363.0
Banepa Municipality,27.63245,85.52192,1475.0
Dhulikhel Municipality,27.6221,85.54281,1480.0
Mandandeupur Municipality,27.70725,85.59814,881.0
Namobuddha Municipality,27.55556,85.63653,1217.0
Panauti Municipality,27.58466,85.52122,1438.0
Panchkhal Municipality,27.6437,85.63998,870.0
Bethanchowk Rural Municipality,27.50472,85.50667,1946.0
Bhumlu Rural Municipality,27.62689,85.74215,1314.0
Chaurideurali Rural Municipality,27.57093,85.78195,1506.0
Khanikhola Rural Municipality,27.42743,85.49119,1026.0
Mahabharat Rural Municipality,27.3975,85.63072,1253.0
Roshi Rural Municipality,27.46843,85.65714,1640.0
Temal Rural Municipality,27.51128,85.75572,1742.0
Lalitpur Metropolitian City,27.67465,85.32364,1326.0
Godawari Municipality,27.58653,85.379,1599.0
Mahalaxmi Municipality,27.63263,85.38239,1376.0
Bagmati Rural Municipality,27.66617,85.30975,1301.0
Konjyosom Rural Municipality,27.52091,85.34789,1713.0
Mahankal Rural Municipality,27.47458,85.40533,1453.0
Thaha Municipality,27.64432,85.09956,1812.0
Bagmati Rural Municipality,27.29583,85.3667,463.0
Bakaiya Rural Municipality,27.3401,85.21159,351.0
Bhimphedi Rural Municipality,27.5326,85.11616,1204.0
Indrasarowar Rural Municipality,27.60147,85.18921,1596.0
Kailash Rural Municipality,27.60988,84.95558,1149.0
Makawanpurgadhi Rural Municipality,27.41187,85.14203,905.0
Manahari Rural Municipality,27.48565,84.8599,328.0
Raksirang Rural Municipality,27.59758,84.85797,1159.0
Hetauda Sub-Metropolitian City,27.42839,85.03219,466.0
Belkotgadhi Municipality,27.82594,85.11147,1451.0
Bidur Municipality,27.89277,85.14966,576.0
Dupcheshwar Rural Municipality,27.94967,85.39359,1121.0
Kakani Rural Municipality,27.81717,85.24556,1850.0
Kispang Rural Municipality,28.03525,85.10528,1985.0
Likhu Rural Municipality,27.86135,85.40489,1213.0
Myagang Rural Municipality,27.915074746,85.235381823,1000.0
Panchakanya Rural Municipality,27.89607,85.31347,1390.0
Shivapuri Rural Municipality,27.85116,85.36543,1058.0
Suryagadhi Rural Municipality,27.94628,85.23922,1104.0
Tadi Rural Municipality,27.96657,85.33973,1539.0
Tarkeshwar Rural Municipality,27.88355,85.04134,770.0
Manthali Municipality,27.37073,86.05003,802.0
Ramechhap Municipality,27.32207,86.05913,1073.0
Doramba Rural Municipality,27.52115,85.9411,2263.0
Gokulganga Rural Municipality,27.58384,86.28,2488.0
Khadadevi Rural Municipality,27.42641,85.91784,799.0
Likhu Tamakoshi Rural Municipality,27.44814,86.18537,2436.0
Sunapati Rural Municipality,27.50677,85.86131,1409.0
Umakunda Rural Municipality,27.64432,86.44809,2038.0
Amachodingmo Rural Municipality,28.183250125,85.415950059,4263.0
Gosaikunda Rural Municipality,28.21175,85.54707,3732.0
Kalika Rural Municipality,28.02869,85.21946,1980.0
Naukunda Rural Municipality,28.01946,85.30304,2124.0
Uttargaya Rural Municipality,28.07173,85.18574,2134.0
Dudhouli Municipality,26.99064,86.2725,194.0
Kamalamai Municipality,27.21104,85.91268,519.0
Ghanglekh Rural Municipality,27.34461,85.7938,1270.0
Golanjor Rural Municipality,27.26159,86.05895,979.0
Hariharpurgadhi Rural Municipality,27.33363,85.48663,898.0
Marin Rural Municipality,27.24806,85.70006,355.0
Phikkal Rural Municipality,27.1841,86.29469,2020.0
Sunkoshi Rural Municipality,27.38049,85.87751,953.0
Tinpatan Rural Municipality,27.13306,86.13256,740.0
Barhabise Municipality,27.79124,85.89809,878.0
Chautara SangachokGadhi Municipality,27.75092,85.73006,1447.0
Melamchi Municipality,27.83022,85.57661,842.0
Balefi Rural Municipality,27.73458,85.78235,695.0
Bhotekoshi Rural Municipality,27.93172,85.90808,2837.0
Helambu Rural Municipality,27.9577,85.55064,1554.0
Indrawati Rural Municipality,27.78413,85.62823,1379.0
Jugal Rural Municipality,28.00347,85.80813,3183.0
Lisangkhu Pakhar Rural Municipality,27.6804,85.88278,2125.0
Panchpokhari Thangpal Rural Municipality,27.9512,85.68458,2755.0
Sunkoshi Rural Municipality,27.70766,85.81775,1699.0
Tripurasundari Rural Municipality,27.75215,85.95203,2363.0
Baglung Municipality,28.267588798447,83.599391716966,967.0
Dhorpatan Municipality,28.39009,83.11711,2053.0
Galkot Municipality,28.25316,83.3833,3017.0
Jaimuni Municipality,28.14943,83.58733,1639.0
Badigad Rural Municipality,28.26792,83.2537,2204.0
